Period,Contribution Rate (%),Yearly Increase (%)
1970,8.2,N/A
1975,10.5,28.04878048780488
1980,11.4,8.571428571428585
1985,11.8,3.5087719298245723
1990,12.5,5.932203389830493
1995,13.2,5.600000000000005
2000,13.5,2.2727272727272707
2001,13.6,0.7407407407407307
2002,14.0,2.941176470588247
2003,14.3,2.1428571428571574
2004,14.2,-0.6993006993007089
Jan. bis Jun. 2005,14.2,0.0
Jul. bis Dez. 2005,14.2,0.0
2006,14.2,0.0
2007,14.8,4.225352112676073
2008,14.9,0.6756756756756799
Jan. bis Jun. 2009,15.5,4.026845637583887
Jul. 2009 bis 2010,14.9,-3.8709677419354827
2011 bis 2014,15.5,4.026845637583887
2015,14.6,-5.8064516129032295
2016,14.6,0.0
2017,14.6,0.0
2018,14.6,0.0
seit 2019,14.6,0.0
